price,home delivery,SNAP,vegetables,meat,eggs,fish,fruit,milk,sizenum,seasonnum,frequencynum,locationnum,farmnum
0,675,0,0,1,0,0,0,0,0,0,0,1,1,0
1,500,0,1,1,0,0,0,0,0,0,0,1,2,1
2,675,0,1,1,0,0,0,0,0,1,0,1,0,2
3,600,0,1,1,1,0,0,0,0,1,0,1,0,3
4,1000,0,0,1,0,0,0,1,0,1,0,1,1,4
5,518,1,0,1,0,0,0,0,0,1,0,0,0,5
6,720,0,0,1,0,0,0,0,0,1,0,1,3,6
7,660,1,0,0,1,0,0,0,0,1,0,2,1,7
8,930,1,0,0,1,0,0,0,0,1,0,2,2,8
9,700,0,0,1,0,0,0,0,0,1,0,1,3,1
10,360,0,0,1,0,0,0,0,0,0,0,0,3,6
11,500,0,1,1,0,0,0,0,0,0,0,1,3,1
12,630,1,1,0,1,1,0,0,0,0,0,2,1,8
13,630,1,1,0,1,1,0,0,0,0,0,2,3,8
14,1300,0,1,1,0,0,0,0,0,1,0,1,1,0
15,350,0,1,1,1,0,0,0,0,0,0,1,0,3
16,1000,0,1,1,0,0,0,1,0,1,0,1,1,4
17,340,0,0,1,0,0,0,0,0,0,0,0,0,2
18,675,0,1,1,0,0,0,0,0,0,0,1,1,0
19,1036,1,1,1,0,0,0,0,0,1,0,1,0,5
20,600,0,1,1,1,0,0,0,0,1,0,1,0,3
21,360,0,1,1,0,0,0,0,0,0,0,0,3,6
22,930,1,1,0,1,1,0,0,0,1,0,2,2,8
23,675,0,1,1,0,0,0,0,0,0,0,1,0,0
24,720,0,1,1,0,0,0,0,0,1,0,1,3,6
25,545,1,1,0,1,0,0,0,0,1,0,2,2,8
26,1000,0,0,1,0,0,0,1,0,1,0,1,1,4
27,340,0,1,1,0,0,0,0,0,0,0,0,1,2
28,300,1,0,0,1,1,0,0,0,0,0,2,1,7
29,200,0,0,1,0,0,0,0,0,0,1,1,0,1
30,790,0,1,1,0,1,1,0,0,1,0,1,1,9
31,518,1,0,1,0,0,0,0,0,1,0,0,0,5
32,1036,0,0,1,0,0,0,0,0,1,0,1,0,5
33,300,1,0,0,1,0,0,0,0,1,0,2,1,7
34,500,0,1,1,0,0,0,1,0,0,0,1,1,4
35,790,0,0,1,0,0,0,0,1,1,0,1,1,9
36,360,0,1,1,0,0,0,0,0,0,0,0,3,6
37,350,0,0,1,1,0,0,0,0,0,0,1,0,3
38,500,0,0,1,0,0,0,0,0,0,0,1,3,1
39,475,0,1,1,0,1,0,0,0,0,0,1,1,9
40,340,0,0,1,0,0,0,0,0,0,0,0,1,2
41,518,1,1,1,0,0,0,0,0,1,0,0,0,5
42,790,0,0,1,0,0,1,0,1,1,0,1,1,9
43,518,1,0,1,0,0,0,0,0,1,0,0,0,5
44,500,0,0,1,0,0,0,1,0,0,0,1,1,4
45,300,1,0,0,1,0,0,1,0,0,0,2,1,7
46,790,0,1,1,0,0,0,0,0,1,0,1,1,9
47,660,1,0,0,1,0,0,0,1,1,0,2,1,7
48,720,0,0,1,0,1,0,0,0,1,0,1,1,6
49,518,0,1,1,0,0,0,0,0,1,0,0,0,5
50,360,0,1,1,0,0,0,0,0,0,0,0,3,6
51,545,1,1,0,1,0,0,0,0,1,0,2,1,8
52,1000,0,0,1,0,0,0,1,0,1,0,1,1,4
53,340,0,1,1,0,0,0,0,0,0,0,1,1,2
54,300,1,0,0,1,1,0,0,0,0,0,2,1,7
55,200,0,0,1,0,0,0,0,0,0,1,1,0,1
56,790,0,0,1,0,1,1,0,0,1,0,1,1,9
57,518,1,0,1,0,0,0,0,0,1,0,0,0,5
58,1036,0,0,1,0,0,0,0,0,1,0,1,0,5
59,300,1,0,0,1,0,0,0,0,0,0,2,1,7
60,500,0,1,1,0,0,0,1,0,0,0,1,1,4
61,790,0,0,1,0,0,0,0,1,1,0,1,1,9
62,360,0,0,1,0,0,0,0,0,0,0,0,3,6
63,350,0,0,1,1,0,0,0,0,0,0,1,0,3
64,500,0,0,1,0,0,0,0,0,0,0,1,3,1
65,475,0,1,1,0,1,0,0,0,0,0,1,1,9
66,340,0,0,1,0,0,0,0,0,0,0,0,1,2
67,518,1,1,1,0,0,0,0,0,1,0,0,0,5
68,790,0,1,1,0,0,1,0,1,1,0,1,1,9
69,1036,0,0,1,0,0,0,0,0,1,0,1,0,5
70,500,0,0,1,0,0,0,1,0,0,0,1,1,4
71,300,1,0,0,1,0,0,0,0,0,0,2,1,7
72,475,0,1,1,0,0,0,0,1,0,0,1,1,9
73,660,1,0,0,1,1,0,0,0,1,0,2,1,7
74,720,0,1,1,0,0,0,0,0,1,0,1,1,6
75,518,0,1,1,0,0,0,0,0,1,0,0,0,5
76,675,0,0,1,0,0,0,0,0,0,0,1,1,0
77,500,0,1,1,0,0,0,0,0,0,0,1,2,1
78,675,0,1,1,0,0,0,0,0,1,0,1,0,2
79,600,0,1,1,1,0,0,0,0,1,0,1,0,3
80,1000,0,0,1,0,0,0,1,0,1,0,1,1,4
81,518,1,0,1,0,0,0,0,0,1,0,0,0,5
82,720,0,0,1,0,0,0,0,0,1,0,1,3,6
83,660,1,0,0,1,0,0,0,0,1,0,2,1,7
84,340,0,0,1,0,0,0,0,0,0,0,0,0,2
85,700,0,0,1,0,0,0,0,0,1,0,1,3,1
86,360,0,0,1,0,0,0,0,0,0,0,0,1,6
87,500,0,0,1,0,0,0,0,0,0,0,1,3,1
88,630,1,1,0,1,1,0,0,0,0,0,2,1,8
89,630,1,1,0,1,1,0,0,0,0,0,2,3,8
